Protein	pval_unambiguous	pval_IgM	pval_GenderMale	pval_RaceIndo	pval_Days_since_onset_corrected	pval_Age	coef_unambiguous	coef_IgM	coef_GenderMale	coef_RaceIndo	coef_Days_since_onset_corrected	coef_Age
P06396	0.75363	0.00732	0.30536	0.41705	0.79797	0.87122	-0.04	-0.37	-0.12	-0.11	0	0
P06681	0.66462	0.56604	0.48598	0.83955	0.58654	0.57687	-0.1	0.15	-0.16	0.05	-0.02	0.01
P06727	0.19063	0.2777	0.13802	0.2868	0.51037	0.00863	0.44	-0.39	-0.49	0.39	-0.03	0.08
P07195	0.44908	0.94179	0.66024	0.55821	0.97352	0.42941	0.15	0.02	0.08	-0.12	0	-0.01
P07225	0.4821	0.71914	0.14417	0.76821	0.47108	0.01661	-0.09	0.05	-0.18	-0.04	0.01	0.03
P07357	0.95979	0.01322	0.30772	0.7395	0.55624	0.05265	-0.01	0.45	-0.16	-0.06	-0.02	0.03
P07358	0.86614	0.11834	0.19845	0.96037	0.69728	0.12842	-0.03	0.29	-0.22	-0.01	0.01	0.02
P07360	0.47903	0.58026	0.18714	0.20284	0.68877	0.25196	-0.09	0.07	-0.16	0.17	-0.01	0.01
P07996	0.00574	0.13383	0.0134	0.05283	0.29893	0.01191	0.91	0.51	-0.78	-0.67	-0.05	0.07
P08185	0.03344	0.22122	0.02564	0.90432	0.65208	0.16343	0.65	0.39	-0.65	-0.04	0.02	0.04
P08519	0.20923	0.67625	0.11225	0.48894	0.97215	0.52035	-0.63	0.22	0.78	0.38	0	0.03
P08571	0.29172	0.0126	0.15477	0.76035	0.69577	0.92552	0.23	0.6	-0.3	0.07	-0.01	0
P08603	0.48587	0.17017	0.1241	0.20083	0.35017	0.04227	-0.08	0.16	-0.16	-0.15	-0.02	0.02
P08697	0.54861	0.18741	0.47972	0.45034	0.90167	0.43405	0.11	0.27	-0.13	-0.15	0	0.01
P09871	0.30004	0.48916	0.97554	0.21706	0.87676	0.95503	-0.12	-0.08	0	0.15	0	0
P0C0L5	0.09469	0.0627	0.05125	0.44282	0.46848	0.26646	0.38	0.45	-0.43	-0.18	-0.02	0.02
P0DJI8	0.85345	0.00183	0.38163	0.70117	0.19943	0.81065	0.17	3.24	0.78	-0.38	-0.18	0.02
P0DJI9	0.098	0.22389	0.27056	0.11629	0.47128	0.7908	-1.4	1.07	0.91	1.38	0.1	-0.02
P0DOY2	0.00077	0.07213	0.11636	0.9594	0.62539	0.05373	-0.51	-0.27	0.22	0.01	0.01	-0.02
P10643	0.37952	0.3324	0.14305	0.63835	0.40537	0.04097	-0.14	0.16	-0.22	0.08	-0.02	0.03
P10720	0.54456	0.90797	0.02372	0.6223	0.31985	0.07335	0.24	-0.05	-0.9	-0.21	0.06	0.07
P10909;P10909-2;P10909-4;P10909-5	0.26317	0.8567	0.08892	0.83479	0.36813	0.10013	0.34	0.06	-0.51	-0.07	-0.04	0.04
P13671	0.41977	0.88128	0.12823	0.76338	0.52093	0.76009	-0.06	0.01	0.12	0.03	-0.01	0
P13796	0.4979	0.98862	0.77274	0.50955	0.7327	0.05196	0.16	0	-0.07	-0.17	-0.01	0.04
P14151;P14151-2	0.27858	0.1683	0.08372	0.09175	0.21215	0.91572	0.26	0.36	-0.41	-0.49	0.05	0
P15169	0.11629	0.23015	0.04459	0.77876	0.89189	0.19209	0.38	0.3	-0.47	-0.07	0	0.03
P15814	0.04729	0.31446	0.07989	0.26464	0.89573	0.09574	0.86	0.45	-0.72	-0.51	-0.01	0.06
P18428	0.41412	0.00195	0.33415	0.1809	0.26678	0.13309	0.34	1.47	-0.39	-0.62	-0.07	0.06
P19320	0.38879	0.92256	0.53875	0.28412	0.26503	0.82275	-0.12	-0.01	0.08	0.16	-0.02	0
P19652	0.04046	0.00598	0.11813	0.28358	0.71069	0.45985	0.47	0.69	-0.34	-0.26	-0.01	0.01
P19823	0.49433	0.31266	0.94665	0.28557	0.73132	0.84436	0.09	0.14	0.01	-0.15	0.01	0
P19827	0.43867	0.2348	0.62992	0.31286	0.72491	0.46735	0.11	0.19	-0.07	-0.16	0.01	0.01
P20742	0.51593	0.16373	0.63703	0.67578	0.2514	0.27497	0.43	0.99	-0.3	0.3	-0.12	0.06
P20851;P20851-2	0.21088	0.24828	0.02816	0.54694	0.79807	0.06702	0.2	0.2	-0.35	-0.1	0.01	0.03
P22792	0.98594	0.3076	0.68649	0.83936	0.34106	0.46664	0	0.14	0.05	0.03	-0.02	0.01
P22891;P22891-2	0.14522	0.47921	0.88042	0.85444	0.99593	0.67954	-0.28	-0.14	-0.03	0.04	0	0.01
P23083	0.71628	0.62401	0.6864	0.92502	0.74855	0.93137	0.07	-0.11	-0.08	-0.02	0.01	0
P23142	0.06081	0.52549	0.77994	0.49487	0.55667	0.90994	-0.33	-0.12	0.05	0.13	-0.02	0
P23142-4	0.86156	0.77095	0.14738	0.23219	0.55567	0.49517	0.03	-0.06	-0.26	-0.24	0.02	0.01
P25311	0.26645	0.49699	0.54696	0.54918	0.69221	0.02614	0.2	0.13	-0.1	-0.12	-0.01	0.04
P27169	0.4261	0.36987	0.21175	0.83511	0.9689	0.29068	-0.17	-0.21	-0.26	-0.05	0	0.02
P27918	0.40606	0.61503	0.67476	0.22516	0.93858	0.21061	0.21	0.13	-0.1	-0.33	0	0.03
P29622	0.46739	0.03768	0.01691	0.46637	0.73008	0.06763	0.18	-0.57	-0.6	-0.2	0.01	0.04
P32119	0.22689	0.53439	0.18232	0.26835	0.06942	0.41597	0.48	-0.26	-0.51	-0.46	0.11	-0.03
P33151	0.01743	0.23327	0.64273	0.80759	0.72018	0.76778	-0.34	-0.18	0.06	-0.04	0.01	0
P35443	0.17536	0.04694	0.32773	0.57055	0.21372	0.35852	-0.26	-0.41	0.18	0.12	0.04	-0.02
P35858;P35858-2	0.39945	0.29013	0.07578	0.57273	0.5307	0.06328	0.4	0.54	-0.83	-0.29	-0.05	0.08
P36955	0.93879	0.25134	0.21007	0.17477	0.72717	0.05167	-0.01	0.19	-0.19	-0.23	-0.01	0.03
P36980;P36980-2	0.96839	0.08663	0.18922	0.72959	0.08986	0.1802	0.01	0.46	0.31	-0.09	-0.07	0.03
P41222	0.14482	0.55603	0.63118	0.35406	0.50174	0.46945	-0.35	-0.15	0.11	0.24	-0.03	0.02
P43251;P43251-2;P43251-3;P43251-4	0.71698	0.48558	0.66243	0.87171	0.52702	0.23547	-0.09	0.18	0.1	0.04	0.02	0.03
P43652	0.63826	0.60011	0.05408	0.55802	0.8825	0.36325	0.09	-0.11	-0.37	-0.12	0	0.02
P48740	0.15848	0.58762	0.06797	0.55619	0.96225	0.03962	0.28	0.11	-0.35	0.13	0	0.04
P51884	0.61781	0.47368	0.03925	0.95311	0.86863	0.10446	0.12	-0.18	-0.48	-0.01	0.01	0.03
P55058	0.92098	0.07818	0.00771	0.33072	0.69017	0.83632	0.02	-0.4	-0.54	0.21	0.01	0
P55290;P55290-4	0.4441	0.67011	0.57143	0.77653	0.82457	0.78982	-0.07	-0.04	0.05	-0.03	0	0
P59665;P59666	0.3471	0.13562	0.78622	0.8084	0.86914	0.54424	0.44	0.76	0.12	-0.12	0.01	0.02
P60709;P63261	0.99082	0.27886	0.99523	0.86078	0.62876	0.99477	0	-0.38	0	-0.06	0.02	0
P61626	0.20583	0.06252	0.38769	0.87282	0.9441	0.28801	0.44	0.7	-0.29	-0.06	0	0.03
P61769	0.28567	0.05294	0.91597	0.70718	0.34946	0.72529	0.27	0.52	0.03	0.1	-0.04	-0.01
P68871	0.01035	0.57669	0.02539	0.74227	0.37547	0.53395	1.46	-0.32	-1.21	-0.19	0.07	0.03
P69905	0.02849	0.2208	0.08762	0.94354	0.30497	0.88744	1.01	-0.59	-0.75	0.03	0.07	-0.01
P80108	0.07599	0.30026	0.58856	0.15362	0.84835	0.18345	-0.43	-0.26	-0.12	-0.37	0.01	0.03
P80748	0.87271	0.80979	0.39999	0.51788	0.96839	0.76792	0.08	-0.12	0.39	-0.32	0	-0.01
Q03591	0.89457	0.15245	0.10248	0.76312	0.72315	0.37846	0.06	0.66	0.69	-0.14	0.02	-0.03
Q04756	0.40434	0.08992	0.05805	0.73174	0.62861	0.17863	-0.17	-0.38	-0.39	0.08	-0.02	0.03
Q06033;Q06033-2	0.06622	0.00068	0.25753	0.00873	0.60898	0.22255	0.3	0.62	0.18	0.48	-0.01	0.02
Q08211	0.00537	0.31224	0.17189	0.73213	0.74818	0.65433	-0.47	-0.17	0.21	0.06	-0.01	0.01
Q08380	0.80295	0.4611	0.32746	0.97801	0.78303	0.63345	0.11	0.34	-0.41	0.01	-0.02	0.02
Q12805;Q12805-2;Q12805-4	0.37585	0.74996	0.73534	0.89424	0.24198	0.09454	-0.19	-0.07	-0.07	0.03	-0.04	0.03
Q13790	0.23197	0.16054	0.53869	0.35272	0.29903	0.71893	-0.31	-0.4	-0.16	0.26	0.04	0.01
Q14520;Q14520-2	0.89962	0.44291	0.0019	0.62977	0.61818	0.06244	0.02	0.11	-0.41	-0.07	-0.01	0.02
Q14624	0.6311	0.02525	0.52446	0.57515	0.39071	0.0345	0.06	0.29	-0.07	-0.07	-0.02	0.02
Q15485	0.2844	0.15019	0.19776	0.32886	0.61383	0.60659	0.24	0.35	0.28	0.23	-0.02	-0.01
Q15848	0.20033	0.96358	0.44235	0.69947	0.43262	0.24813	-0.21	0.01	-0.12	-0.07	0.02	0.02
Q16610	0.31361	0.28069	0.85091	0.57837	0.40038	0.80803	-0.27	-0.31	-0.05	0.16	-0.03	-0.01
Q5T7N2	0.84084	0.14011	0.76866	0.65087	0.88035	0.19443	0.13	-1	-0.18	0.31	0.01	-0.08
Q68DL7	0.06023	0.4536	0.22963	0.41113	0.97739	0.14135	-0.55	-0.22	0.32	0.25	0	-0.04
Q6EMK4	0.06179	0.56794	0.34285	0.31049	0.71827	0.10761	0.2	0.06	-0.1	-0.11	0.01	0.01
Q6UXB8;Q6UXB8-2	0.48166	0.23522	0.23758	0.64946	0.66022	0.77378	0.08	-0.17	-0.13	0.06	0.01	0
Q92496;Q92496-2	0.61883	0.18214	0.30226	0.4993	0.60361	0.74656	0.15	0.45	0.31	-0.22	0.02	-0.01
Q92905	0.6246	0.5336	0.63499	0.54747	0.91384	0.86352	-0.07	-0.11	-0.07	0.11	0	0
Q96KN2	0.33784	0.85578	0.73753	0.22095	0.60002	0.81839	0.32	0.07	0.11	-0.41	-0.02	0.01
Q96PD5	0.05493	0.68955	0.02341	0.33579	0.25551	0.10313	0.33	-0.07	-0.38	-0.18	-0.03	0.02
Q9BXR6	0.74184	0.04264	0.68183	0.26444	0.59504	0.29453	0.07	0.48	0.09	-0.26	0.02	0.02
Q9NZP8	0.64327	0.65831	0.11424	0.30148	0.58759	0.36433	-0.11	0.11	-0.37	-0.27	-0.02	0.02
Q9UEU0;Q9UEU0-2	0.002	0.63701	0.79637	0.01244	0.12046	0.90475	0.86	0.14	0.06	0.74	-0.06	0
Q9UGM5	0.49871	0.02704	0.66877	0.58307	0.68854	0.51897	-0.12	-0.43	-0.07	-0.11	-0.01	-0.01
Q9Y6R7	0.18762	0.29095	0.82696	0.75492	0.32423	0.24109	-0.35	0.3	0.06	0.09	-0.04	0.03
