Protein	pval_Zika	pval_IgM	pval_GenderMale	pval_RaceIndo	pval_Days_since_onset_corrected	pval_Age	coef_Zika	coef_IgM	coef_GenderMale	coef_RaceIndo	coef_Days_since_onset_corrected	coef_Age
H0Y2P0;H0Y5E4;H0YCV9;H0YDW7;H0YDX6;P16070;P16070-10;P16070-11;P16070-12;P16070-13;P16070-14;P16070-15;P16070-16;P16070-17;P16070-18;P16070-3;P16070-4;P16070-5;P16070-6;P16070-7;P16070-8;P16070-9	0.56107	0.56195	0.97057	0.2924	0.7534	0.60217	-0.1	0.09	0	-0.13	-0.01	0
P13796	0.56406	0.53477	0.77109	0.4787	0.74843	0.05599	-0.21	-0.22	-0.07	-0.18	-0.01	0.04
O95445	0.56963	0.49147	0.49889	0.66541	0.85882	0.14929	-0.13	-0.14	-0.1	-0.08	0	0.02
P00450	0.57688	0.02643	0.59199	0.75812	0.94387	0.82736	0.12	0.45	-0.08	-0.05	0	0
P51884	0.58323	0.74419	0.06645	0.84527	0.77814	0.15099	0.19	-0.1	-0.43	0.05	0.01	0.03
P22792	0.58613	0.66448	0.79198	0.997	0.30327	0.40438	-0.11	0.08	0.03	0	-0.02	0.01
A0A286YEY5;P01877	0.59622	0.63366	0.30667	0.2247	0.00668	0.11057	-0.28	-0.23	-0.36	-0.5	0.16	0.05
Q04756	0.6016	0.4597	0.06495	0.69068	0.64942	0.17534	0.16	-0.21	-0.39	0.1	-0.01	0.03
P01709	0.60378	0.47901	0.63721	0.75736	0.64362	0.81844	0.21	0.27	-0.12	-0.09	0.02	-0.01
A0A0C4DH55;A0A0C4DH90	0.60738	0.60468	0.98852	0.08626	0.7178	0.68808	0.21	0.19	0	-0.55	0.02	0.01
P43251;P43251-2;P43251-3;P43251-4	0.60878	0.3186	0.61702	0.7769	0.49633	0.25535	0.18	0.32	0.12	0.08	0.03	0.02
Q92496;Q92496-2	0.60999	0.2161	0.22033	0.68472	0.52435	0.61044	0.23	0.53	0.36	-0.14	0.03	-0.01
A0A075B6R2	0.62613	0.63192	0.72714	0.13941	0.17809	0.10983	-0.13	-0.12	0.06	-0.31	0.04	-0.03
P01344;P01344-3	0.6315	0.83781	0.40388	0.56648	0.63695	0.63275	0.09	-0.04	-0.11	-0.08	0.01	-0.01
P80748	0.63246	0.56413	0.44174	0.44068	0.95984	0.83202	-0.37	-0.4	0.36	-0.42	0	-0.01
O00187	0.65376	0.3478	0.19503	0.39121	0.70452	0.58565	-0.14	-0.24	-0.24	-0.19	-0.01	-0.01
A0A0B4J1Y8	0.65669	0.84762	0.59726	0.65719	0.70921	0.51005	-0.24	-0.09	0.18	0.19	0.02	-0.02
A0A087X0M8;O00533;O00533-2	0.66709	0.34552	0.84541	0.74936	0.8604	0.32167	0.08	0.16	0.02	0.04	0	0.01
P20851;P20851-2	0.67464	0.41088	0.06277	0.79281	0.69068	0.12676	0.1	0.18	-0.3	-0.05	0.01	0.02
F5H8B0;P08709;P08709-2	0.68441	0.52137	0.5565	0.26212	0.02481	0.78829	0.07	0.12	0.07	0.16	-0.04	0
F8WF14;P06276	0.68505	0.35396	0.55489	0.74502	0.56373	0.44963	-0.13	-0.28	-0.12	0.07	0.02	0.01
P02751-14;P02751-8	0.69023	0.97807	0.62094	0.18976	0.37476	0.18199	0.17	-0.01	-0.14	0.43	-0.04	0.03
P48740	0.69644	0.77744	0.14104	0.39492	0.91291	0.08469	0.12	0.08	-0.29	0.2	0	0.03
A0A087WSY6	0.70106	0.8355	0.46102	0.95915	0.65285	0.84534	0.12	-0.06	-0.15	0.01	-0.01	0
P01602	0.70134	0.68471	0.8228	0.58471	0.1371	0.26303	0.21	-0.2	0.08	-0.23	0.09	-0.04
Q6UXB8;Q6UXB8-2	0.70198	0.28781	0.33277	0.50147	0.56929	0.5879	0.06	-0.17	-0.11	0.09	0.01	-0.01
O00391	0.70875	0.2038	0.82225	0.5388	0.21955	0.41291	0.13	0.41	-0.06	-0.17	-0.05	0.02
P02751;P02751-15;P02751-3;P02751-7	0.71326	0.73915	0.50665	0.91363	0.12093	0.42064	0.1	0.08	0.12	-0.02	-0.05	0.01
A0A0J9YY99	0.71661	0.55575	0.75269	0.73203	0.5857	0.12723	0.1	-0.15	-0.06	0.08	0.02	-0.03
P01624	0.72283	0.31346	0.98814	0.5511	0.20256	0.68717	0.13	0.34	0	-0.17	-0.05	-0.01
P02774;P02774-3	0.72488	0.05848	0.03228	0.97103	0.25763	0.30842	0.05	0.26	-0.21	0	-0.02	0.01
P01619	0.72648	0.54874	0.31017	0.93516	0.96942	0.93446	-0.09	-0.15	0.18	0.02	0	0
P04433	0.74115	0.36107	0.06893	0.94486	0.46136	0.02555	-0.12	-0.3	0.44	0.02	-0.03	-0.05
P05534;P30447	0.74319	0.27299	0.32414	0.51664	0.64225	0.75259	0.18	0.57	0.36	-0.28	0.03	0.01
P01042	0.75097	0.75204	0.32888	0.68416	0.43343	0.0844	0.05	0.04	-0.09	-0.05	0.01	0.02
P01023	0.75111	0.74148	0.26253	0.32705	0.86211	0.80185	0.12	-0.12	-0.29	0.3	-0.01	-0.01
Q15848	0.76672	0.83813	0.32158	0.43888	0.5493	0.21701	-0.07	0.05	-0.16	-0.16	0.02	0.02
A0A0C4DH25	0.76808	0.0996	0.63618	0.58875	0.9263	0.0562	-0.1	-0.5	0.1	-0.14	0	-0.04
A0A087WSX0	0.77074	0.6332	0.73997	0.97706	0.91757	0.70051	0.16	0.25	0.14	-0.01	0.01	-0.01
P08571	0.77365	0.16339	0.19988	0.75757	0.71669	0.85004	-0.1	0.45	-0.28	0.08	-0.01	0
A0A075B6I4;A0A1W2PQ80	0.77589	0.49094	0.1877	0.78003	0.25819	0.73472	-0.18	-0.43	-0.49	-0.13	0.07	-0.01
A0A075B6S2;A2NJV5	0.78126	0.88779	0.49333	0.11608	0.28687	0.9977	0.17	-0.08	0.24	0.67	-0.06	0
P33151	0.78343	0.89818	0.81172	0.6116	0.92469	0.99181	0.06	0.03	0.03	-0.09	0	0
P04004	0.78493	0.13053	0.45426	0.87685	0.32554	0.74658	0.04	0.21	-0.07	-0.02	-0.02	0
Q12805;Q12805-2;Q12805-4	0.78582	0.85659	0.6028	0.93727	0.21188	0.06781	-0.09	-0.05	-0.11	-0.02	-0.04	0.04
P01743	0.78717	0.25994	0.95393	0.71533	0.27607	0.95952	0.11	0.43	-0.02	-0.12	-0.05	0
P08519	0.79584	0.6185	0.19426	0.68878	0.92759	0.38528	-0.2	0.35	0.66	0.23	-0.01	0.04
P01703	0.80093	0.89496	0.28276	0.29537	0.80251	0.87334	-0.12	0.06	-0.35	-0.4	-0.01	0
A0A075B6Q5	0.80442	0.84834	0.17215	0.05899	0.55969	0.72388	0.13	-0.1	0.37	0.56	-0.02	0.01
P04211	0.80788	0.35456	0.83895	0.54037	0.2847	0.09836	0.08	0.29	-0.05	0.16	0.04	-0.03
A0A075B6S9	0.8117	0.52371	0.48068	0.77886	0.63643	0.21151	-0.11	-0.27	-0.22	0.1	-0.02	0.03
Q5T7N2	0.81764	0.17246	0.7526	0.70639	0.89976	0.19931	-0.22	-1.19	-0.2	0.27	0.01	-0.07
A0A075B6S5	0.82278	0.54548	0.71994	0.38554	0.88108	0.35157	-0.1	-0.26	-0.11	0.28	-0.01	0.02
P01857	0.83758	0.96412	0.66382	0.41723	0.90635	0.40637	-0.04	-0.01	0.06	-0.13	0	-0.01
P0DJI8	0.83961	0.01029	0.35091	0.78605	0.21888	0.86536	0.28	3.35	0.85	-0.29	-0.18	0.01
C9JEE0	0.84143	0.93183	0.11141	0.51971	0.80193	0.13549	0.08	0.03	0.4	0.21	-0.01	-0.03
P05160	0.86333	0.92087	0.41169	0.91459	0.57792	0.04978	-0.03	-0.02	-0.11	0.02	0.01	0.02
P00739	0.86847	0.32713	0.43382	0.34856	0.68642	0.2068	0.09	0.5	-0.29	-0.4	-0.02	0.04
P61769	0.86983	0.27851	0.88121	0.6765	0.37623	0.66454	-0.06	0.37	0.04	0.12	-0.03	-0.01
A0A0C4DH38	0.87841	0.8638	0.20964	0.91791	0.65322	0.50881	0.08	0.08	-0.42	0.04	0.02	-0.02
P01591	0.88104	0.56565	0.9039	0.70702	0.28745	0.12323	0.05	-0.16	-0.02	0.09	0.03	-0.03
H0YAC1;P03952	0.88184	0.96018	0.67327	0.77007	0.22238	0.03602	-0.03	-0.01	-0.05	-0.04	-0.02	0.02
A0A0B4J1X5	0.88836	0.03759	0.85262	0.21136	0.43045	0.92669	-0.06	-0.83	0.05	0.41	-0.04	0
P35443	0.89271	0.21132	0.47365	0.75482	0.27358	0.51004	-0.04	-0.33	0.14	0.07	0.03	-0.01
A0A075B6I1	0.89351	0.39874	0.51723	0.40538	0.62242	0.37653	0.08	0.56	-0.28	-0.41	0.03	-0.03
P01042-2	0.89743	0.78022	0.22913	0.0698	0.94567	0.43969	0.05	0.1	-0.31	-0.55	0	0.02
Q6EMK4	0.90468	0.72303	0.55289	0.4998	0.75488	0.21015	-0.02	-0.05	-0.07	-0.08	0	0.01
A0A0B4J1X8	0.90806	0.68726	0.85682	0.84674	0.86262	0.4754	-0.05	0.16	0.05	0.06	-0.01	-0.02
P06310	0.91355	0.93992	0.46583	0.52644	0.09043	0.62758	-0.03	-0.02	-0.11	-0.11	0.04	-0.01
A0A0B4J231;B9A064	0.93351	0.82328	0.22658	0.75815	0.76297	0.63719	-0.04	-0.09	0.36	0.11	-0.01	-0.01
P10643	0.93685	0.29305	0.12691	0.71949	0.38759	0.03376	0.02	0.23	-0.24	0.06	-0.02	0.03
P01717	0.93987	0.85908	0.77695	0.56525	0.57653	0.354	-0.03	0.07	0.08	-0.18	0.02	-0.02
A0A0C4DH24	0.94207	0.64531	0.35164	0.64763	0.96564	0.75527	-0.04	-0.21	-0.33	0.18	0	0.01
Q08380	0.95629	0.64063	0.34826	0.96925	0.79191	0.65621	-0.04	0.27	-0.4	0.02	-0.02	0.02
P01833	0.95765	0.81253	0.08696	0.72619	0.73288	0.70991	-0.02	0.08	-0.39	-0.1	0.01	0.01
A0A1W2PQB1;H0Y755;M9MML0;P08637	0.96213	0.18899	0.37119	0.62728	0.41118	0.77997	0.01	0.38	-0.18	-0.12	0.03	0.01
P01705	0.96249	0.18906	0.51786	0.39133	0.17594	0.35409	-0.02	0.55	0.2	0.31	0.06	-0.03
P01599	0.97559	0.29241	0.02704	0.73067	0.28088	0.76695	-0.02	-0.58	-0.85	0.15	0.06	-0.01
A0A0C4DFP6;Q9NQ79;Q9NQ79-2	0.97659	0.50141	0.59135	0.93422	0.39555	0.65939	0.01	-0.2	0.11	-0.02	-0.03	0.01
Q03591	0.98842	0.27368	0.10433	0.79173	0.7172	0.36943	0.01	0.65	0.7	-0.13	0.02	-0.03
A0A0G2JRQ6	0.99136	0.61879	0.49103	0.28645	0.0685	0.29548	0	0.16	-0.17	-0.29	-0.07	0.02
P02753;Q5VY30	0.99293	0.1021	0.27338	0.59268	0.94321	0.26714	0	-0.55	-0.26	-0.15	0	0.02
A0A0C4DH29	0.99408	0.99722	0.86512	0.08401	0.70484	0.5246	0	0	-0.04	-0.52	0.02	-0.02
